stream_id,movie_name,Country,Genre,Year,,Certificate,,Minutes
S1001,Midnight Cowboy,United States,Drama,1993,,U,,160
S1002,"Last Chance: Diary of Comedians, The (Bokutachi no koukan nikki)",Other,Comedy|Drama,1993,,U,,116
S1003,"Fan, The",Other,Drama|Thriller,1993,,U,,126
S1004,Millions,United States,Children|Comedy|Crime|Drama|Fantasy,1993,,U,,63
S1005,x`,Europe ,Animation|Comedy|Sci-Fi,1993,,18,,62
S1006,Pee-wee's Big Adventure,Other,Adventure|Comedy,2004,,PG,,74
S1007,"Nanny, The",United States,Drama|Thriller,2003,,12,,78
S1008,Shark in Venice,United States,Action|Horror|Thriller,1994,,15,,107
S1009,"Ace High (Quattro dell'Ave Maria, I)",United States,Comedy|Western,1986,,18,,128
S1010,My Favorite Wife,Other,Comedy|Romance,2007,,12,,72
S1011,"American Affair, An",Europe ,Drama,1997,,15,,164
S1012,Beauty and the Beast: The Enchanted Christmas,United States,Animation|Children|Fantasy|Musical,2009,,12,,63
S1013,"Woman Always Pays, The (Afgrunden) (Abyss, The)",Other,Drama,2002,,PG,,108
S1014,A Summer in La Goulette,Other,Comedy|Drama,2011,,15,,90
S1015,Antitrust,Other,Crime|Drama|Thriller,2005,,15,,92
S1016,Edge of Tomorrow,Other,Action|Sci-Fi|IMAX,2001,,15,,103
S1017,Reasonable Doubt,Europe ,Crime|Thriller,2010,,15,,78
S1018,"Search for One-eye Jimmy, The",Other,Comedy,1992,,12,,73
S1019,Hawaii,Europe ,Romance,1998,,12,,69
S1020,"Amish Murder, An",Other,Action|Crime|Drama,1995,,18,,112
S1021,Bianca Beauchamp: All Access,Other,Documentary,2005,,PG,,110
S1022,Dominion: Prequel to the Exorcist,United States,Horror|Thriller,2008,,PG,,152
S1023,"Brief Vacation, A (breve vacanza, Una)",Other,Drama|Romance,2004,,PG,,82
S1024,Fuse (Gori vatra),Other,Comedy|Drama,2004,,15,,128
S1025,Dumb & Dumber (Dumb and Dumber),Europe ,Adventure|Comedy,1996,,U,,115
S1026,Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime),Other,Action|Adventure|Animation|Children,2005,,15,,166
S1027,"Mirror Has Two Faces, The",Other,Comedy|Drama|Romance,1984,,12,,165
S1028,Pandemonium,Other,Comedy|Horror|Mystery,2004,,15,,171
S1029,Lovesick,Other,Comedy|Fantasy|Romance,2008,,PG,,85
S1030,Summer Holiday,Other,Musical,2011,,PG,,111
S1031,"Cameraman, The",Europe ,Comedy|Drama|Romance,2011,,18,,90
S1032,Nadine,United States,Comedy,2003,,18,,64
S1033,Amos & Andrew,United States,Comedy,2002,,U,,101
S1034,I'm Starting From Three (Ricomincio da Tre),Europe ,Comedy,2010,,15,,102
S1035,Asterix at the Olympic Games (Astérix aux jeux olympiques),United States,Adventure|Children|Comedy|Fantasy,2001,,18,,132
S1036,History of the Eagles,Other,Documentary,2013,,12,,136
S1037,Mr. Bean's Holiday,Europe ,Comedy,1995,,PG,,128
S1038,Stalin,Europe ,Drama,1996,,PG,,168
S1039,Iron Man 2,Europe ,Action|Adventure|Sci-Fi|Thriller|IMAX,1996,,18,,118
S1040,Vääpeli Körmy ja marsalkan sauva,Europe ,Comedy,1988,,15,,121
S1041,Helter Skelter,Other,Crime|Drama|Thriller,2001,,U,,152
S1042,"Brotherhood of Justice, The",Europe ,Action|Drama|Thriller,2005,,15,,70
S1043,47 Ronin,United States,Action|Adventure|Fantasy,2005,,PG,,174
S1044,Scenes From a Marriage (Scener ur ett äktenskap),Europe ,Drama,2012,,U,,130
S1045,The French Kissers,Other,Comedy,2001,,U,,176
S1046,Sam Peckinpah: Man of Iron,United States,Documentary,2002,,U,,99
S1047,The Pentagon Papers,Other,Drama|Thriller,1994,,12,,122
S1048,Simple Men,Other,Comedy|Drama,2000,,18,,102
